,Time,Hexagon,Buckets,Radius,Device,Percentage
61,Weekday,8843a02215fffff,322,0.01,Samsung,0.16770186335403728
62,Weekday,8843a02215fffff,322,0.01,Combined,0.2080745341614907
63,Weekday,8843a02215fffff,322,0.1,Apple,0.22981366459627328
64,Weekday,8843a02215fffff,322,0.1,Samsung,0.32919254658385094
65,Weekday,8843a02215fffff,322,0.1,Combined,0.422360248447205
66,Weekday,8843a02215fffff,322,0.5,Apple,0.2577639751552795
67,Weekday,8843a02215fffff,322,0.5,Samsung,0.33229813664596275
68,Weekday,8843a02215fffff,322,0.5,Combined,0.4440993788819876
69,Weekday,8843a02215fffff,322,1.0,Apple,0.2608695652173913
70,Weekday,8843a02215fffff,322,1.0,Samsung,0.33229813664596275
71,Weekday,8843a02215fffff,322,1.0,Combined,0.4440993788819876
72,Weekday,8843a02215fffff,322,5.0,Apple,0.2608695652173913
73,Weekday,8843a02215fffff,322,5.0,Samsung,0.33229813664596275
74,Weekday,8843a02215fffff,322,5.0,Combined,0.4440993788819876
75,Weekday,8843a02267fffff,322,0.01,Apple,0.049689440993788817
76,Weekday,8843a02267fffff,322,0.01,Samsung,0.16770186335403728
77,Weekday,8843a02267fffff,322,0.01,Combined,0.2080745341614907
78,Weekday,8843a02267fffff,322,0.1,Apple,0.22981366459627328
79,Weekday,8843a02267fffff,322,0.1,Samsung,0.32919254658385094
80,Weekday,8843a02267fffff,322,0.1,Combined,0.422360248447205
81,Weekday,8843a02267fffff,322,0.5,Apple,0.2577639751552795
82,Weekday,8843a02267fffff,322,0.5,Samsung,0.33229813664596275
83,Weekday,8843a02267fffff,322,0.5,Combined,0.4440993788819876
84,Weekday,8843a02267fffff,322,1.0,Apple,0.2608695652173913
85,Weekday,8843a02267fffff,322,1.0,Samsung,0.33229813664596275
86,Weekday,8843a02267fffff,322,1.0,Combined,0.4440993788819876
87,Weekday,8843a02267fffff,322,5.0,Apple,0.2608695652173913
88,Weekday,8843a02267fffff,322,5.0,Samsung,0.33229813664596275
89,Weekday,8843a02267fffff,322,5.0,Combined,0.4440993788819876
90,Weekday,8843a0235bfffff,1010,0.01,Apple,0.053465346534653464
91,Weekday,8843a0235bfffff,1010,0.01,Samsung,0.08712871287128712
92,Weekday,8843a0235bfffff,1010,0.01,Combined,0.1316831683168317
93,Weekday,8843a0235bfffff,1010,0.1,Apple,0.18118811881188118
94,Weekday,8843a0235bfffff,1010,0.1,Samsung,0.1792079207920792
95,Weekday,8843a0235bfffff,1010,0.1,Combined,0.2871287128712871
96,Weekday,8843a0235bfffff,1010,0.5,Apple,0.2
97,Weekday,8843a0235bfffff,1010,0.5,Samsung,0.1910891089108911
98,Weekday,8843a0235bfffff,1010,0.5,Combined,0.3089108910891089
99,Weekday,8843a0235bfffff,1010,1.0,Apple,0.200990099009901
100,Weekday,8843a0235bfffff,1010,1.0,Samsung,0.19306930693069307
101,Weekday,8843a0235bfffff,1010,1.0,Combined,0.3108910891089109
102,Weekday,8843a0235bfffff,1010,5.0,Apple,0.20297029702970298
103,Weekday,8843a0235bfffff,1010,5.0,Samsung,0.19702970297029704
104,Weekday,8843a0235bfffff,1010,5.0,Combined,0.31683168316831684
105,Weekday,8843a0222bfffff,322,0.01,Apple,0.049689440993788817
106,Weekday,8843a0222bfffff,322,0.01,Samsung,0.16770186335403728
107,Weekday,8843a0222bfffff,322,0.01,Combined,0.2080745341614907
108,Weekday,8843a0222bfffff,322,0.1,Apple,0.22981366459627328
109,Weekday,8843a0222bfffff,322,0.1,Samsung,0.32919254658385094
110,Weekday,8843a0222bfffff,322,0.1,Combined,0.422360248447205
111,Weekday,8843a0222bfffff,322,0.5,Apple,0.2577639751552795
112,Weekday,8843a0222bfffff,322,0.5,Samsung,0.33229813664596275
113,Weekday,8843a0222bfffff,322,0.5,Combined,0.4440993788819876
114,Weekday,8843a0222bfffff,322,1.0,Apple,0.2608695652173913
115,Weekday,8843a0222bfffff,322,1.0,Samsung,0.33229813664596275
116,Weekday,8843a0222bfffff,322,1.0,Combined,0.4440993788819876
117,Weekday,8843a0222bfffff,322,5.0,Apple,0.2608695652173913
118,Weekday,8843a0222bfffff,322,5.0,Samsung,0.33229813664596275
