,Hexagon,Density,Device,NumBuckets,Percentage
463,881ea2013dfffff,High Density,Samsung,9,0.3333333333333333
464,881ea2013dfffff,High Density,Combined,9,0.3333333333333333
465,881ea20123fffff,High Density,Apple,3,0.0
466,881ea20123fffff,High Density,Samsung,3,0.6666666666666666
467,881ea20123fffff,High Density,Combined,3,0.6666666666666666
468,881ea20a45fffff,High Density,Apple,3,0.6666666666666666
469,881ea20a45fffff,High Density,Samsung,3,1.0
470,881ea20a45fffff,High Density,Combined,3,1.0
471,881ea26b1bfffff,High Density,Apple,2,1.0
472,881ea26b1bfffff,High Density,Samsung,2,1.0
473,881ea26b1bfffff,High Density,Combined,2,1.0
474,881ea2684dfffff,High Density,Apple,4,1.0
475,881ea2684dfffff,High Density,Samsung,4,0.75
476,881ea2684dfffff,High Density,Combined,4,1.0
477,881eb5350bfffff,High Density,Apple,3,0.6666666666666666
478,881eb5350bfffff,High Density,Samsung,3,0.6666666666666666
479,881eb5350bfffff,High Density,Combined,3,0.6666666666666666
480,881eb53503fffff,High Density,Apple,1,1.0
481,881eb53503fffff,High Density,Samsung,1,0.0
482,881eb53503fffff,High Density,Combined,1,1.0
483,881ea2c1d5fffff,High Density,Apple,2,0.5
484,881ea2c1d5fffff,High Density,Samsung,2,0.5
485,881ea2c1d5fffff,High Density,Combined,2,1.0
486,881eb5873bfffff,High Density,Apple,3,0.6666666666666666
487,881eb5873bfffff,High Density,Samsung,3,0.6666666666666666
488,881eb5873bfffff,High Density,Combined,3,0.6666666666666666
