,Time,Hexagon,Buckets,Radius,Device,Percentage
145,Morning,881e9d8319fffff,1,1.0,Samsung,0.0
146,Morning,881e9d8319fffff,1,1.0,Combined,0.0
147,Morning,881e9d8319fffff,1,5.0,Apple,0.0
148,Morning,881e9d8319fffff,1,5.0,Samsung,0.0
149,Morning,881e9d8319fffff,1,5.0,Combined,0.0
150,Morning,881e9d831dfffff,2,0.01,Apple,0.0
151,Morning,881e9d831dfffff,2,0.01,Samsung,0.0
152,Morning,881e9d831dfffff,2,0.01,Combined,0.0
153,Morning,881e9d831dfffff,2,0.1,Apple,0.0
154,Morning,881e9d831dfffff,2,0.1,Samsung,0.0
155,Morning,881e9d831dfffff,2,0.1,Combined,0.0
156,Morning,881e9d831dfffff,2,0.5,Apple,0.0
157,Morning,881e9d831dfffff,2,0.5,Samsung,0.0
158,Morning,881e9d831dfffff,2,0.5,Combined,0.0
159,Morning,881e9d831dfffff,2,1.0,Apple,0.0
160,Morning,881e9d831dfffff,2,1.0,Samsung,0.0
161,Morning,881e9d831dfffff,2,1.0,Combined,0.0
162,Morning,881e9d831dfffff,2,5.0,Apple,0.0
163,Morning,881e9d831dfffff,2,5.0,Samsung,0.0
164,Morning,881e9d831dfffff,2,5.0,Combined,0.0
165,Morning,881ea20105fffff,5,0.01,Apple,0.0
166,Morning,881ea20105fffff,5,0.01,Samsung,0.2
167,Morning,881ea20105fffff,5,0.01,Combined,0.2
168,Morning,881ea20105fffff,5,0.1,Apple,0.0
169,Morning,881ea20105fffff,5,0.1,Samsung,0.4
170,Morning,881ea20105fffff,5,0.1,Combined,0.4
171,Morning,881ea20105fffff,5,0.5,Apple,0.2
172,Morning,881ea20105fffff,5,0.5,Samsung,0.4
173,Morning,881ea20105fffff,5,0.5,Combined,0.6
174,Morning,881ea20105fffff,5,1.0,Apple,0.2
175,Morning,881ea20105fffff,5,1.0,Samsung,0.4
176,Morning,881ea20105fffff,5,1.0,Combined,0.6
177,Morning,881ea20105fffff,5,5.0,Apple,0.2
178,Morning,881ea20105fffff,5,5.0,Samsung,0.4
179,Morning,881ea20105fffff,5,5.0,Combined,0.6
180,Morning,881ea2012bfffff,9,0.01,Apple,0.0
181,Morning,881ea2012bfffff,9,0.01,Samsung,0.1111111111111111
182,Morning,881ea2012bfffff,9,0.01,Combined,0.1111111111111111
183,Morning,881ea2012bfffff,9,0.1,Apple,0.2222222222222222
184,Morning,881ea2012bfffff,9,0.1,Samsung,0.3333333333333333
185,Morning,881ea2012bfffff,9,0.1,Combined,0.3333333333333333
186,Morning,881ea2012bfffff,9,0.5,Apple,0.4444444444444444
187,Morning,881ea2012bfffff,9,0.5,Samsung,0.3333333333333333
188,Morning,881ea2012bfffff,9,0.5,Combined,0.5555555555555556
189,Morning,881ea2012bfffff,9,1.0,Apple,0.4444444444444444
190,Morning,881ea2012bfffff,9,1.0,Samsung,0.3333333333333333
191,Morning,881ea2012bfffff,9,1.0,Combined,0.5555555555555556
192,Morning,881ea2012bfffff,9,5.0,Apple,0.4444444444444444
193,Morning,881ea2012bfffff,9,5.0,Samsung,0.3333333333333333
194,Morning,881ea2012bfffff,9,5.0,Combined,0.5555555555555556
195,Morning,881ea2013dfffff,2,0.01,Apple,0.0
196,Morning,881ea2013dfffff,2,0.01,Samsung,0.0
197,Morning,881ea2013dfffff,2,0.01,Combined,0.0
198,Morning,881ea2013dfffff,2,0.1,Apple,0.0
199,Morning,881ea2013dfffff,2,0.1,Samsung,0.0
200,Morning,881ea2013dfffff,2,0.1,Combined,0.0
201,Morning,881ea2013dfffff,2,0.5,Apple,0.0
202,Morning,881ea2013dfffff,2,0.5,Samsung,0.0
203,Morning,881ea2013dfffff,2,0.5,Combined,0.0
204,Morning,881ea2013dfffff,2,1.0,Apple,0.0
205,Morning,881ea2013dfffff,2,1.0,Samsung,0.0
206,Morning,881ea2013dfffff,2,1.0,Combined,0.0
207,Morning,881ea2013dfffff,2,5.0,Apple,0.0
208,Morning,881ea2013dfffff,2,5.0,Samsung,0.0
209,Morning,881ea2013dfffff,2,5.0,Combined,0.0
210,Morning,881ea20a45fffff,5,0.01,Apple,0.0
211,Morning,881ea20a45fffff,5,0.01,Samsung,0.0
212,Morning,881ea20a45fffff,5,0.01,Combined,0.0
213,Morning,881ea20a45fffff,5,0.1,Apple,0.4
214,Morning,881ea20a45fffff,5,0.1,Samsung,0.4
215,Morning,881ea20a45fffff,5,0.1,Combined,0.6
216,Morning,881ea20a45fffff,5,0.5,Apple,0.4
217,Morning,881ea20a45fffff,5,0.5,Samsung,0.4
218,Morning,881ea20a45fffff,5,0.5,Combined,0.6
219,Morning,881ea20a45fffff,5,1.0,Apple,0.4
220,Morning,881ea20a45fffff,5,1.0,Samsung,0.4
221,Morning,881ea20a45fffff,5,1.0,Combined,0.6
222,Morning,881ea20a45fffff,5,5.0,Apple,0.4
223,Morning,881ea20a45fffff,5,5.0,Samsung,0.4
224,Morning,881ea20a45fffff,5,5.0,Combined,0.6
225,Morning,881ea2c1d5fffff,3,0.01,Apple,0.0
226,Morning,881ea2c1d5fffff,3,0.01,Samsung,0.0
227,Morning,881ea2c1d5fffff,3,0.01,Combined,0.0
228,Morning,881ea2c1d5fffff,3,0.1,Apple,0.0
229,Morning,881ea2c1d5fffff,3,0.1,Samsung,0.3333333333333333
230,Morning,881ea2c1d5fffff,3,0.1,Combined,0.3333333333333333
231,Morning,881ea2c1d5fffff,3,0.5,Apple,0.0
232,Morning,881ea2c1d5fffff,3,0.5,Samsung,0.3333333333333333
233,Morning,881ea2c1d5fffff,3,0.5,Combined,0.3333333333333333
234,Morning,881ea2c1d5fffff,3,1.0,Apple,0.0
235,Morning,881ea2c1d5fffff,3,1.0,Samsung,0.3333333333333333
236,Morning,881ea2c1d5fffff,3,1.0,Combined,0.3333333333333333
237,Morning,881ea2c1d5fffff,3,5.0,Apple,0.0
238,Morning,881ea2c1d5fffff,3,5.0,Samsung,0.3333333333333333
239,Morning,881ea2c1d5fffff,3,5.0,Combined,0.3333333333333333
240,Morning,881faea805fffff,2,0.01,Apple,0.0
241,Morning,881faea805fffff,2,0.01,Samsung,0.5
242,Morning,881faea805fffff,2,0.01,Combined,0.5
243,Morning,881faea805fffff,2,0.1,Apple,0.5
244,Morning,881faea805fffff,2,0.1,Samsung,0.5
245,Morning,881faea805fffff,2,0.1,Combined,0.5
246,Morning,881faea805fffff,2,0.5,Apple,0.5
247,Morning,881faea805fffff,2,0.5,Samsung,0.5
248,Morning,881faea805fffff,2,0.5,Combined,0.5
249,Morning,881faea805fffff,2,1.0,Apple,0.5
250,Morning,881faea805fffff,2,1.0,Samsung,0.5
251,Morning,881faea805fffff,2,1.0,Combined,0.5
252,Morning,881faea805fffff,2,5.0,Apple,0.5
253,Morning,881faea805fffff,2,5.0,Samsung,0.5
254,Morning,881faea805fffff,2,5.0,Combined,0.5
255,Morning,881faea829fffff,5,0.01,Apple,0.4
256,Morning,881faea829fffff,5,0.01,Samsung,0.2
