,User,Country,Device,Time,Distance,Percentage
200,Rohail,UAE,Combined,600,0.08,0.5483870967741935
201,Rohail,UAE,Apple,600,0.09,0.3655913978494624
202,Rohail,UAE,Samsung,600,0.09,0.4910394265232975
203,Rohail,UAE,Combined,600,0.09,0.5519713261648745
204,Rohail,UAE,Apple,600,0.1,0.3655913978494624
205,Rohail,UAE,Samsung,600,0.1,0.4910394265232975
206,Rohail,UAE,Combined,600,0.1,0.5519713261648745
207,Rohail,UAE,Apple,600,0.2,0.3763440860215054
208,Rohail,UAE,Samsung,600,0.2,0.4910394265232975
209,Rohail,UAE,Combined,600,0.2,0.5627240143369175
210,Rohail,UAE,Apple,600,0.30000000000000004,0.3763440860215054
211,Rohail,UAE,Samsung,600,0.30000000000000004,0.4982078853046595
212,Rohail,UAE,Combined,600,0.30000000000000004,0.5698924731182796
213,Rohail,UAE,Apple,600,0.4,0.37992831541218636
214,Rohail,UAE,Samsung,600,0.4,0.4982078853046595
215,Rohail,UAE,Combined,600,0.4,0.5734767025089605
216,Rohail,UAE,Apple,600,0.5,0.3835125448028674
217,Rohail,UAE,Samsung,600,0.5,0.4982078853046595
218,Rohail,UAE,Combined,600,0.5,0.5734767025089605
219,Rohail,UAE,Apple,600,0.6000000000000001,0.3835125448028674
220,Rohail,UAE,Samsung,600,0.6000000000000001,0.4982078853046595
221,Rohail,UAE,Combined,600,0.6000000000000001,0.5734767025089605
222,Rohail,UAE,Apple,600,0.7000000000000001,0.3835125448028674
223,Rohail,UAE,Samsung,600,0.7000000000000001,0.4982078853046595
224,Rohail,UAE,Combined,600,0.7000000000000001,0.5734767025089605
225,Rohail,UAE,Apple,600,0.8,0.3835125448028674
226,Rohail,UAE,Samsung,600,0.8,0.4982078853046595
227,Rohail,UAE,Combined,600,0.8,0.5734767025089605
228,Rohail,UAE,Apple,600,0.9,0.3835125448028674
229,Rohail,UAE,Samsung,600,0.9,0.4982078853046595
230,Rohail,UAE,Combined,600,0.9,0.5734767025089605
231,Rohail,UAE,Apple,600,1.0,0.3870967741935484
232,Rohail,UAE,Samsung,600,1.0,0.4982078853046595
233,Rohail,UAE,Combined,600,1.0,0.5734767025089605
234,Rohail,UAE,Apple,600,1.1,0.3870967741935484
235,Rohail,UAE,Samsung,600,1.1,0.4982078853046595
236,Rohail,UAE,Combined,600,1.1,0.5734767025089605
237,Rohail,UAE,Apple,600,1.2000000000000002,0.3870967741935484
238,Rohail,UAE,Samsung,600,1.2000000000000002,0.4982078853046595
239,Rohail,UAE,Combined,600,1.2000000000000002,0.5734767025089605
240,Rohail,UAE,Apple,600,1.3,0.3870967741935484
241,Rohail,UAE,Samsung,600,1.3,0.4982078853046595
242,Rohail,UAE,Combined,600,1.3,0.5734767025089605
243,Rohail,UAE,Apple,600,1.4000000000000001,0.3870967741935484
244,Rohail,UAE,Samsung,600,1.4000000000000001,0.4982078853046595
245,Rohail,UAE,Combined,600,1.4000000000000001,0.5734767025089605
246,Rohail,UAE,Apple,600,1.5,0.3870967741935484
247,Rohail,UAE,Samsung,600,1.5,0.4982078853046595
248,Rohail,UAE,Combined,600,1.5,0.5734767025089605
249,Rohail,UAE,Apple,600,1.6,0.3870967741935484
250,Rohail,UAE,Samsung,600,1.6,0.4982078853046595
251,Rohail,UAE,Combined,600,1.6,0.5734767025089605
252,Rohail,UAE,Apple,600,1.7000000000000002,0.3870967741935484
253,Rohail,UAE,Samsung,600,1.7000000000000002,0.4982078853046595
254,Rohail,UAE,Combined,600,1.7000000000000002,0.5734767025089605
255,Rohail,UAE,Apple,600,1.8,0.3870967741935484
256,Rohail,UAE,Samsung,600,1.8,0.4982078853046595
257,Rohail,UAE,Combined,600,1.8,0.5734767025089605
258,Rohail,UAE,Apple,600,1.9000000000000001,0.3870967741935484
259,Rohail,UAE,Samsung,600,1.9000000000000001,0.4982078853046595
260,Rohail,UAE,Combined,600,1.9000000000000001,0.5734767025089605
261,Rohail,UAE,Apple,600,2.0,0.3870967741935484
262,Rohail,UAE,Samsung,600,2.0,0.4982078853046595
